Description	
Number of Runs	300
Preset Time	10
Preset Counts	0
Pause Time	0
Alarm Level	0
High Voltage	750

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time	Notes
286	750	326	10.00	22.05.2012 17:13:30	
287	750	327	10.00	22.05.2012 17:13:41	
288	750	325	10.00	22.05.2012 17:13:52	
289	750	306	10.00	22.05.2012 17:14:03	
290	750	324	10.00	22.05.2012 17:14:14	
291	750	302	10.00	22.05.2012 17:14:24	
292	750	347	10.00	22.05.2012 17:14:35	
293	750	325	10.00	22.05.2012 17:14:46	
294	750	326	10.00	22.05.2012 17:14:57	
295	750	322	10.00	22.05.2012 17:15:08	
296	750	327	10.00	22.05.2012 17:15:19	
297	750	331	10.00	22.05.2012 17:15:30	
298	750	332	10.00	22.05.2012 17:15:41	
299	750	309	10.00	22.05.2012 17:15:52	
300	750	319	10.00	22.05.2012 17:16:03	
